Ticker,Name,address,latitude,longitude,Price,Climate Chg Pol:Y,Equal Opp Pol:Y,Water Policy,Human Rights Pol:Y,Energy Effic Pol:Y,Bus Ethics Pol:Y,Biodiv Pol:Y,Registered State Location,Product/Geographic Revenue,Revenue T12M,ISIN,ICB Industry Name,ICB Sector Name,Registered Country Location,Total Water Withdrawal,Tot Wtr Use:Y,Tot Wtr Dschgd:Y,Wste Sent to Ldflls:Y,Waste Recycl:Y ,Total Waste:Y,Energy Consump:Y ,GHG Scope 3:Y,GHG Scope 2:Y,GHG Scope 1:Y
DRI UN Equity,Darden Restaurants Inc,"Winston-Salem, North Carolina",36.0998131,-80.2440518,64.68,0,1,1,0,1,1,0,0,0,7021600128,US2371941053,Consumer Services,Travel & Leisure,US,0,19611.23828,17774.5957,,,,3039.074951,,,
DTE UN Equity,DTE Energy Co,"Boston, Massachusetts",42.3604823,-71.0595678,88.77,1,1,0,0,1,1,1,0,0,10337000192,US2333311072,Utilities,Electricity,US,0,5863980,,,1200,,,3059.293945,2368,145.1000061
DUK UN Equity,Duke Energy Corp,"El Dorado, Arkansas",33.20763,-92.6662674,79.29,1,1,0,0,1,1,0,0,0,23458999808,US26441C2044,Utilities,"Gas, Water & Multiutilities",US,0,352059,,23.63999939,60.69789886,85.48999786,460691,,,
DVA UN Equity,DaVita HealthCare Partners Inc,"Hartford, Connecticut",41.7655582,-72.69061266,73.95,0,1,1,0,1,1,0,0,0,13781837056,US23918K1088,Health Care,Health Care Equipment & Services,US,0,,,,,,,,,23.09900093
DVN UN Equity,Devon Energy Corp,"New York, New York",42.2792625,-71.416172,27.6,0,1,1,0,1,1,1,0,0,15058000128,US25179M1036,Oil & Gas,Oil & Gas Producers,US,0,,,,,,,,1009.210022,
EA UW Equity,Electronic Arts Inc,"Hillsboro, Oregon",45.5228939,-122.989827,63.93,0,1,0,0,0,1,0,0,0,4273000000,US2855121099,Consumer Goods,Leisure Goods,US,0,,,,,,,,,4.529200077
EBAY UW Equity,eBay Inc,"Waltham, Massachusetts",43.1561681,-75.8449946,24.1,0,1,0,1,0,1,0,0,0,13247999744,US2786421030,Consumer Services,General Retailers,US,0,164.1300049,,,,,716.3530273,2555.017822,229.2740021,166.6999969
ECL UN Equity,Ecolab Inc,"New York, New York",43.1561681,-75.8449946,110.73,1,1,0,1,1,1,1,0,0,13545100032,US2788651006,Basic Materials,Chemicals,US,0,7879.339844,5162.160156,24.24099922,1.103000045,73.57499695,2264,,253.9640045,
ED UN Equity,Consolidated Edison Inc,"Omaha, Nebraska",41.2587317,-95.9378732,75.97,1,1,0,0,1,1,1,0,0,12554000128,US2091151041,Utilities,Electricity,US,0,335367,,5.010000229,46.1072998,51.13180161,15269.7998,1310.72998,1193.349976,218.4360046
EFX UN Equity,Equifax Inc,"New York, New York",43.1561681,-75.8449946,113.78,0,1,0,0,0,1,0,0,0,2663600000,US2944291051,Financials,Financial Services,US,0,,,,,,,,,
EIX UN Equity,Edison International,"New York, New York",43.1561681,-75.8449946,70.2,1,1,0,0,1,1,1,0,0,11524000000,US2810201077,Utilities,Electricity,US,0,,,,,,,,1600,
EL UN Equity,Estee Lauder Cos Inc/The,"Pawtucket, Rhode Island",41.878711,-71.3825558,94.54,1,1,1,0,1,1,1,0,0,11064400128,US5184391044,Consumer Goods,Personal Goods,US,0,,,,13.70950031,16.63940048,,,62.80929947,7.347000122
EMC UN Equity,EMC Corp/MA,"Louisville, Kentucky",38.2542376,-85.759407,26.02,1,1,0,1,1,1,0,0,0,24703000576,US2686481027,Technology,Technology Hardware & Equipment,US,0,1264.719971,,3.804800034,2.111799955,18.86899948,1090.900024,,346.0899963,11.5
EMN UN Equity,Eastman Chemical Co,"Atlanta, Georgia",33.7490987,-84.3901849,71.19,0,1,0,1,1,1,0,0,0,9648000000,US2774321002,Basic Materials,Chemicals,US,0,,,,,,25284,,,
EMR UN Equity,Emerson Electric Co,"Islandia, New York",40.8042649,-73.1690019,52.87,0,1,0,1,1,1,0,0,0,21430000128,US2910111044,Industrials,Electronic & Electrical Equipment,US,0,,,,,,,,,
ENDP UW Equity,Endo International PLC,"Burbank, California",29.7589382,-95.3676974,29.07,0,0,0,0,0,1,0,0,0,3268718016,IE00BJ3V9050,Health Care,Pharmaceuticals & Biotechnology,IE,0,,,,,,,10.31400013,,19111.80078
